ts,run_rel_s,tid,comm,state,utime_ticks,stime_ticks
1789633723,5896,2932565,program-vsrc-a:,S,670,1177
1789633723,5896,2932566,program-vsrc-b:,S,1479,1069
1789633723,5896,2932567,media-agent,S,249,26
1789633723,5896,2932568,media-agent,S,12,2
1789633723,5896,2932569,media-agent,S,11,37
1789633725,5898,2932474,media-agent,S,29,19
1789633725,5898,2932483,media-agent,S,0,0
1789633725,5898,2932484,media-agent,S,0,0
1789633725,5898,2932485,media-agent,S,0,0
1789633725,5898,2932486,media-agent,S,0,0
1789633725,5898,2932487,media-agent,S,0,0
1789633725,5898,2932488,media-agent,S,2,30
1789633725,5898,2932489,media-agent,S,0,0
1789633725,5898,2932490,pool-spawner,S,0,0
1789633725,5898,2932491,queue1:src,S,144,1296
1789633725,5898,2932496,decklinkvideosr,S,201,2195
1789633725,5898,2932547,media-agent,S,11,1
1789633725,5898,2932551,media-agent,S,86,95
1789633725,5898,2932553,decklinkaudiosr,S,1576,525
1789633725,5898,2932554,queue0:src,S,187,1380
1789633725,5898,2932555,decklinkvideosr,S,4521,45574
1789633725,5898,2932556,queue3:src,S,849,430
1789633725,5898,2932557,queue2:src,S,1125,416
1789633725,5898,2932558,decklinkvideosr,S,2330,421
1789633725,5898,2932559,decklinkaudiosr,S,983,1580
1789633725,5898,2932560,decklinkvideosr,S,2323,46999
1789633725,5898,2932561,program-audio-q,S,1469,489
1789633725,5898,2932562,program-video-q,S,1042,1710
1789633725,5898,2932563,program-asrc-a:,S,313,2177
1789633725,5898,2932564,program-asrc-b:,S,2364,107
1789633725,5898,2932565,program-vsrc-a:,S,670,1177
1789633725,5898,2932566,program-vsrc-b:,S,1479,1070
1789633725,5898,2932567,media-agent,S,249,26
1789633725,5898,2932568,media-agent,S,12,2
1789633725,5898,2932569,media-agent,S,11,37
1789633727,5900,2932474,media-agent,S,29,19
1789633727,5900,2932483,media-agent,S,0,0
1789633727,5900,2932484,media-agent,S,0,0
1789633727,5900,2932485,media-agent,S,0,0
1789633727,5900,2932486,media-agent,S,0,0
1789633727,5900,2932487,media-agent,S,0,0
1789633727,5900,2932488,media-agent,S,2,30
1789633727,5900,2932489,media-agent,S,0,0
1789633727,5900,2932490,pool-spawner,S,0,0
1789633727,5900,2932491,queue1:src,S,144,1296
1789633727,5900,2932496,decklinkvideosr,S,201,2196
1789633727,5900,2932547,media-agent,S,11,1
1789633727,5900,2932551,media-agent,S,86,95
1789633727,5900,2932553,decklinkaudiosr,S,1577,525
1789633727,5900,2932554,queue0:src,S,187,1380
1789633727,5900,2932555,decklinkvideosr,S,4522,45593
1789633727,5900,2932556,queue3:src,S,849,431
1789633727,5900,2932557,queue2:src,S,1126,417
1789633727,5900,2932558,decklinkvideosr,S,2331,421
1789633727,5900,2932559,decklinkaudiosr,S,983,1581
1789633727,5900,2932560,decklinkvideosr,S,2325,47018
1789633727,5900,2932561,program-audio-q,S,1470,490
1789633727,5900,2932562,program-video-q,S,1043,1710
1789633727,5900,2932563,program-asrc-a:,S,313,2178
1789633727,5900,2932564,program-asrc-b:,S,2365,107
1789633727,5900,2932565,program-vsrc-a:,S,671,1178
1789633727,5900,2932566,program-vsrc-b:,S,1479,1070
1789633727,5900,2932567,media-agent,S,249,26
1789633727,5900,2932568,media-agent,S,12,2
1789633727,5900,2932569,media-agent,S,11,37
1789633729,5902,2932474,media-agent,S,29,19
1789633729,5902,2932483,media-agent,S,0,0
1789633729,5902,2932484,media-agent,S,0,0
1789633729,5902,2932485,media-agent,S,0,0
1789633729,5902,2932486,media-agent,S,0,0
1789633729,5902,2932487,media-agent,S,0,0
1789633729,5902,2932488,media-agent,S,2,30
1789633729,5902,2932489,media-agent,S,0,0
1789633729,5902,2932490,pool-spawner,S,0,0
1789633729,5902,2932491,queue1:src,S,144,1297
1789633729,5902,2932496,decklinkvideosr,S,202,2196
1789633729,5902,2932547,media-agent,S,11,1
1789633729,5902,2932551,media-agent,S,86,95
1789633729,5902,2932553,decklinkaudiosr,S,1577,525
1789633729,5902,2932554,queue0:src,S,187,1381
1789633729,5902,2932555,decklinkvideosr,S,4522,45604
1789633729,5902,2932556,queue3:src,S,849,431
1789633729,5902,2932557,queue2:src,S,1126,417
1789633729,5902,2932558,decklinkvideosr,S,2331,421
1789633729,5902,2932559,decklinkaudiosr,S,983,1581
1789633729,5902,2932560,decklinkvideosr,S,2326,47029
1789633729,5902,2932561,program-audio-q,S,1470,490
1789633729,5902,2932562,program-video-q,S,1043,1710
1789633729,5902,2932563,program-asrc-a:,S,313,2178
1789633729,5902,2932564,program-asrc-b:,S,2366,107
1789633729,5902,2932565,program-vsrc-a:,S,671,1178
1789633729,5902,2932566,program-vsrc-b:,S,1479,1071
1789633729,5902,2932567,media-agent,S,249,26
1789633729,5902,2932568,media-agent,S,12,2
1789633729,5902,2932569,media-agent,S,11,37
1789633731,5904,2932474,media-agent,S,29,19
1789633731,5904,2932483,media-agent,S,0,0
1789633731,5904,2932484,media-agent,S,0,0
1789633731,5904,2932485,media-agent,S,0,0
1789633731,5904,2932486,media-agent,S,0,0
1789633731,5904,2932487,media-agent,S,0,0
1789633731,5904,2932488,media-agent,S,2,30
1789633731,5904,2932489,media-agent,S,0,0
1789633731,5904,2932490,pool-spawner,S,0,0
1789633731,5904,2932491,queue1:src,S,144,1297
1789633731,5904,2932496,decklinkvideosr,S,202,2197
1789633731,5904,2932547,media-agent,S,11,1
1789633731,5904,2932551,media-agent,S,86,95
1789633731,5904,2932553,decklinkaudiosr,S,1578,526
1789633731,5904,2932554,queue0:src,S,187,1381
1789633731,5904,2932555,decklinkvideosr,S,4523,45623
1789633731,5904,2932556,queue3:src,S,849,432
1789633731,5904,2932557,queue2:src,S,1127,417
1789633731,5904,2932558,decklinkvideosr,S,2332,421
1789633731,5904,2932559,decklinkaudiosr,S,983,1582
1789633731,5904,2932560,decklinkvideosr,S,2328,47048
1789633731,5904,2932561,program-audio-q,S,1471,490
1789633731,5904,2932562,program-video-q,S,1044,1710
1789633731,5904,2932563,program-asrc-a:,S,313,2179
1789633731,5904,2932564,program-asrc-b:,S,2367,107
1789633731,5904,2932565,program-vsrc-a:,S,671,1178
1789633731,5904,2932566,program-vsrc-b:,S,1479,1072
1789633731,5904,2932567,media-agent,S,249,26
1789633731,5904,2932568,media-agent,S,12,2
1789633731,5904,2932569,media-agent,S,11,37
1789633733,5906,2932474,media-agent,S,29,19
1789633733,5906,2932483,media-agent,S,0,0
1789633733,5906,2932484,media-agent,S,0,0
1789633733,5906,2932485,media-agent,S,0,0
1789633733,5906,2932486,media-agent,S,0,0
1789633733,5906,2932487,media-agent,S,0,0
1789633733,5906,2932488,media-agent,S,2,30
1789633733,5906,2932489,media-agent,S,0,0
1789633733,5906,2932490,pool-spawner,S,0,0
1789633733,5906,2932491,queue1:src,S,144,1298
1789633733,5906,2932496,decklinkvideosr,S,202,2198
1789633733,5906,2932547,media-agent,S,11,1
1789633733,5906,2932551,media-agent,S,86,96
1789633733,5906,2932553,decklinkaudiosr,S,1578,526
1789633733,5906,2932554,queue0:src,S,187,1382
1789633733,5906,2932555,decklinkvideosr,S,4523,45634
1789633733,5906,2932556,queue3:src,S,849,432
1789633733,5906,2932557,queue2:src,S,1127,417
1789633733,5906,2932558,decklinkvideosr,S,2333,421
1789633733,5906,2932559,decklinkaudiosr,S,983,1582
1789633733,5906,2932560,decklinkvideosr,S,2328,47059
1789633733,5906,2932561,program-audio-q,S,1471,490
1789633733,5906,2932562,program-video-q,S,1044,1710
1789633733,5906,2932563,program-asrc-a:,S,313,2179
1789633733,5906,2932564,program-asrc-b:,S,2368,107
1789633733,5906,2932565,program-vsrc-a:,S,671,1179
1789633733,5906,2932566,program-vsrc-b:,S,1479,1072
1789633733,5906,2932567,media-agent,S,249,26
1789633733,5906,2932568,media-agent,S,12,2
1789633733,5906,2932569,media-agent,S,11,37
1789633735,5908,2932474,media-agent,S,29,19
1789633735,5908,2932483,media-agent,S,0,0
1789633735,5908,2932484,media-agent,S,0,0
1789633735,5908,2932485,media-agent,S,0,0
1789633735,5908,2932486,media-agent,S,0,0
1789633735,5908,2932487,media-agent,S,0,0
1789633735,5908,2932488,media-agent,S,2,30
1789633735,5908,2932489,media-agent,S,0,0
1789633735,5908,2932490,pool-spawner,S,0,0
1789633735,5908,2932491,queue1:src,S,144,1298
1789633735,5908,2932496,decklinkvideosr,S,202,2198
1789633735,5908,2932547,media-agent,S,11,1
1789633735,5908,2932551,media-agent,S,86,96
1789633735,5908,2932553,decklinkaudiosr,S,1579,526
1789633735,5908,2932554,queue0:src,S,187,1382
1789633735,5908,2932555,decklinkvideosr,S,4524,45654
1789633735,5908,2932556,queue3:src,S,849,432
1789633735,5908,2932557,queue2:src,S,1127,417
1789633735,5908,2932558,decklinkvideosr,S,2334,421
1789633735,5908,2932559,decklinkaudiosr,S,983,1583
1789633735,5908,2932560,decklinkvideosr,S,2328,47080
1789633735,5908,2932561,program-audio-q,S,1472,490
1789633735,5908,2932562,program-video-q,S,1045,1711
1789633735,5908,2932563,program-asrc-a:,S,313,2180
1789633735,5908,2932564,program-asrc-b:,S,2369,107
1789633735,5908,2932565,program-vsrc-a:,S,672,1179
1789633735,5908,2932566,program-vsrc-b:,S,1479,1073
1789633735,5908,2932567,media-agent,S,249,26
1789633735,5908,2932568,media-agent,S,12,2
1789633735,5908,2932569,media-agent,S,11,37
1789633737,5910,2932474,media-agent,S,29,19
1789633737,5910,2932483,media-agent,S,0,0
1789633737,5910,2932484,media-agent,S,0,0
1789633737,5910,2932485,media-agent,S,0,0
1789633737,5910,2932486,media-agent,S,0,0
1789633737,5910,2932487,media-agent,S,0,0
1789633737,5910,2932488,media-agent,S,2,30
1789633737,5910,2932489,media-agent,S,0,0
1789633737,5910,2932490,pool-spawner,S,0,0
1789633737,5910,2932491,queue1:src,S,144,1298
1789633737,5910,2932496,decklinkvideosr,S,202,2199
1789633737,5910,2932547,media-agent,S,11,1
1789633737,5910,2932551,media-agent,S,86,96
