cycle,ts,rss_kb,fd,threads,dropped,clock_lost,sw_epoch,tl_epoch,frames_v,frames_a,observed,target
113,1788843081,1276620,14,29,0,0,113,0,96858,129122,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
114,1788843110,1276620,14,29,0,0,114,0,97721,130273,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
115,1788843139,1276620,14,29,0,0,115,0,98588,131428,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
116,1788843167,1276624,14,29,0,0,116,0,99452,132580,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
117,1788843196,1276624,14,29,0,0,117,0,100316,133732,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
118,1788843225,1276624,14,29,0,0,118,0,101180,134884,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
119,1788843254,1276624,14,29,0,0,119,0,102044,136036,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
120,1788843283,1276624,14,29,0,0,120,0,102911,137191,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
121,1788843311,1276624,14,29,0,0,121,0,103774,138343,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
122,1788843340,1276624,14,29,0,0,122,0,104638,139494,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
123,1788843369,1276624,14,29,0,0,123,0,105503,140647,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
124,1788843398,1276624,14,29,0,0,124,0,106366,141798,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
125,1788843427,1276624,14,29,0,0,125,0,107233,142953,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
126,1788843455,1276624,14,29,0,0,126,0,108097,144105,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
127,1788843484,1276624,14,29,0,0,127,0,108961,145257,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
128,1788843513,1276624,14,29,0,0,128,0,109825,146409,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
129,1788843542,1276624,14,29,0,0,129,0,110689,147561,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
130,1788843571,1276624,14,29,0,0,130,0,111556,148716,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
131,1788843599,1276624,14,29,0,0,131,0,112419,149868,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
132,1788843628,1276624,14,29,0,0,132,0,113283,151019,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
133,1788843657,1276624,14,29,0,0,133,0,114147,152171,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
134,1788843686,1276624,14,29,0,0,134,0,115011,153323,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
135,1788843715,1276628,14,29,0,0,135,0,115878,154478,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
136,1788843743,1276628,14,29,0,0,136,0,116742,155630,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
137,1788843772,1276628,14,29,0,0,137,0,117606,156782,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
138,1788843801,1276628,14,29,0,0,138,0,118469,157933,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
139,1788843830,1276628,14,29,0,0,139,0,119333,159085,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
140,1788843859,1276628,14,29,0,0,140,0,120200,160240,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
141,1788843887,1276628,14,29,0,0,141,0,121064,161392,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
142,1788843916,1276628,14,29,0,0,142,0,121928,162544,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
143,1788843945,1276628,14,29,0,0,143,0,122792,163696,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
144,1788843974,1276628,14,29,0,0,144,0,123656,164847,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
145,1788844003,1276628,14,29,0,0,145,0,124523,166003,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
