ts,run_rel_s,tid,comm,state,utime_ticks,stime_ticks
1789144127,5925,2511726,media-agent,S,0,0
1789144127,5925,2511727,media-agent,S,0,0
1789144127,5925,2511728,media-agent,S,0,0
1789144127,5925,2511729,media-agent,S,0,0
1789144127,5925,2511730,media-agent,S,7,25
1789144127,5925,2511731,media-agent,S,0,0
1789144127,5925,2511732,pool-spawner,S,0,0
1789144127,5925,2511733,queue1:src,S,349,1090
1789144127,5925,2511738,queue0:src,S,428,1417
1789144127,5925,2511788,media-agent,S,86,96
1789144127,5925,2511789,decklinkaudiosr,S,584,319
1789144127,5925,2511790,decklinkvideosr,S,702,358
1789144127,5925,2511791,decklinkvideosr,R,949,49930
1789144127,5925,2511792,media-agent,S,243,71
1789144127,5925,2511793,media-agent,S,13,1
1789144127,5925,2511794,media-agent,S,11,31
1789144129,5927,2511716,media-agent,S,17,18
1789144129,5927,2511725,media-agent,S,0,0
1789144129,5927,2511726,media-agent,S,0,0
1789144129,5927,2511727,media-agent,S,0,0
1789144129,5927,2511728,media-agent,S,0,0
1789144129,5927,2511729,media-agent,S,0,0
1789144129,5927,2511730,media-agent,S,7,25
1789144129,5927,2511731,media-agent,S,0,0
1789144129,5927,2511732,pool-spawner,S,0,0
1789144129,5927,2511733,queue1:src,S,349,1090
1789144129,5927,2511738,queue0:src,S,428,1417
1789144129,5927,2511788,media-agent,S,86,96
1789144129,5927,2511789,decklinkaudiosr,S,584,319
1789144129,5927,2511790,decklinkvideosr,S,702,358
1789144129,5927,2511791,decklinkvideosr,S,950,49940
1789144129,5927,2511792,media-agent,S,243,71
1789144129,5927,2511793,media-agent,S,13,1
1789144129,5927,2511794,media-agent,S,11,31
1789144131,5929,2511716,media-agent,S,17,18
1789144131,5929,2511725,media-agent,S,0,0
1789144131,5929,2511726,media-agent,S,0,0
1789144131,5929,2511727,media-agent,S,0,0
1789144131,5929,2511728,media-agent,S,0,0
1789144131,5929,2511729,media-agent,S,0,0
1789144131,5929,2511730,media-agent,S,7,25
1789144131,5929,2511731,media-agent,S,0,0
1789144131,5929,2511732,pool-spawner,S,0,0
1789144131,5929,2511733,queue1:src,S,349,1091
1789144131,5929,2511738,queue0:src,S,429,1417
1789144131,5929,2511788,media-agent,S,86,96
1789144131,5929,2511789,decklinkaudiosr,S,584,320
1789144131,5929,2511790,decklinkvideosr,S,702,358
1789144131,5929,2511791,decklinkvideosr,S,953,49955
1789144131,5929,2511792,media-agent,S,243,71
1789144131,5929,2511793,media-agent,S,13,1
1789144131,5929,2511794,media-agent,S,11,31
1789144133,5931,2511716,media-agent,S,17,18
1789144133,5931,2511725,media-agent,S,0,0
1789144133,5931,2511726,media-agent,S,0,0
1789144133,5931,2511727,media-agent,S,0,0
1789144133,5931,2511728,media-agent,S,0,0
1789144133,5931,2511729,media-agent,S,0,0
1789144133,5931,2511730,media-agent,S,7,25
1789144133,5931,2511731,media-agent,S,0,0
1789144133,5931,2511732,pool-spawner,S,0,0
1789144133,5931,2511733,queue1:src,S,349,1091
1789144133,5931,2511738,queue0:src,S,430,1417
1789144133,5931,2511788,media-agent,S,86,96
1789144133,5931,2511789,decklinkaudiosr,S,584,320
1789144133,5931,2511790,decklinkvideosr,S,702,359
1789144133,5931,2511791,decklinkvideosr,S,956,49971
1789144133,5931,2511792,media-agent,S,243,71
1789144133,5931,2511793,media-agent,S,13,1
1789144133,5931,2511794,media-agent,S,11,31
1789144135,5933,2511716,media-agent,S,17,18
1789144135,5933,2511725,media-agent,S,0,0
1789144135,5933,2511726,media-agent,S,0,0
1789144135,5933,2511727,media-agent,S,0,0
1789144135,5933,2511728,media-agent,S,0,0
1789144135,5933,2511729,media-agent,S,0,0
1789144135,5933,2511730,media-agent,S,7,25
1789144135,5933,2511731,media-agent,S,0,0
1789144135,5933,2511732,pool-spawner,S,0,0
1789144135,5933,2511733,queue1:src,S,349,1091
1789144135,5933,2511738,queue0:src,R,430,1417
1789144135,5933,2511788,media-agent,S,86,96
1789144135,5933,2511789,decklinkaudiosr,S,584,320
1789144135,5933,2511790,decklinkvideosr,S,702,359
1789144135,5933,2511791,decklinkvideosr,R,957,49980
1789144135,5933,2511792,media-agent,S,243,71
1789144135,5933,2511793,media-agent,S,13,1
1789144135,5933,2511794,media-agent,S,11,31
1789144137,5935,2511716,media-agent,S,17,18
1789144137,5935,2511725,media-agent,S,0,0
1789144137,5935,2511726,media-agent,S,0,0
1789144137,5935,2511727,media-agent,S,0,0
1789144137,5935,2511728,media-agent,S,0,0
1789144137,5935,2511729,media-agent,S,0,0
1789144137,5935,2511730,media-agent,S,7,25
1789144137,5935,2511731,media-agent,S,0,0
1789144137,5935,2511732,pool-spawner,S,0,0
1789144137,5935,2511733,queue1:src,S,349,1092
1789144137,5935,2511738,queue0:src,S,431,1417
1789144137,5935,2511788,media-agent,S,87,96
1789144137,5935,2511789,decklinkaudiosr,S,584,321
1789144137,5935,2511790,decklinkvideosr,S,702,360
1789144137,5935,2511791,decklinkvideosr,S,961,49996
1789144137,5935,2511792,media-agent,S,243,71
1789144137,5935,2511793,media-agent,S,13,1
1789144137,5935,2511794,media-agent,S,11,31
1789144139,5937,2511716,media-agent,S,17,18
1789144139,5937,2511725,media-agent,S,0,0
1789144139,5937,2511726,media-agent,S,0,0
1789144139,5937,2511727,media-agent,S,0,0
1789144139,5937,2511728,media-agent,S,0,0
1789144139,5937,2511729,media-agent,S,0,0
1789144139,5937,2511730,media-agent,S,7,25
1789144139,5937,2511731,media-agent,S,0,0
1789144139,5937,2511732,pool-spawner,S,0,0
1789144139,5937,2511733,queue1:src,S,349,1092
1789144139,5937,2511738,queue0:src,S,432,1417
1789144139,5937,2511788,media-agent,S,87,96
1789144139,5937,2511789,decklinkaudiosr,S,584,321
1789144139,5937,2511790,decklinkvideosr,S,702,360
1789144139,5937,2511791,decklinkvideosr,S,965,50011
1789144139,5937,2511792,media-agent,S,243,71
1789144139,5937,2511793,media-agent,S,13,1
1789144139,5937,2511794,media-agent,S,11,31
1789144141,5939,2511716,media-agent,S,17,18
1789144141,5939,2511725,media-agent,S,0,0
1789144141,5939,2511726,media-agent,S,0,0
1789144141,5939,2511727,media-agent,S,0,0
1789144141,5939,2511728,media-agent,S,0,0
1789144141,5939,2511729,media-agent,S,0,0
1789144141,5939,2511730,media-agent,S,7,25
1789144141,5939,2511731,media-agent,S,0,0
1789144141,5939,2511732,pool-spawner,S,0,0
1789144141,5939,2511733,queue1:src,S,349,1092
1789144141,5939,2511738,queue0:src,S,432,1417
1789144141,5939,2511788,media-agent,S,87,96
1789144141,5939,2511789,decklinkaudiosr,S,584,321
1789144141,5939,2511790,decklinkvideosr,S,702,360
1789144141,5939,2511791,decklinkvideosr,S,966,50021
1789144141,5939,2511792,media-agent,S,243,71
1789144141,5939,2511793,media-agent,S,13,1
1789144141,5939,2511794,media-agent,S,11,31
1789144143,5941,2511716,media-agent,S,17,18
1789144143,5941,2511725,media-agent,S,0,0
1789144143,5941,2511726,media-agent,S,0,0
1789144143,5941,2511727,media-agent,S,0,0
1789144143,5941,2511728,media-agent,S,0,0
1789144143,5941,2511729,media-agent,S,0,0
1789144143,5941,2511730,media-agent,S,7,25
1789144143,5941,2511731,media-agent,S,0,0
1789144143,5941,2511732,pool-spawner,S,0,0
1789144143,5941,2511733,queue1:src,S,349,1093
1789144143,5941,2511738,queue0:src,S,433,1417
1789144143,5941,2511788,media-agent,S,87,96
1789144143,5941,2511789,decklinkaudiosr,S,584,322
1789144143,5941,2511790,decklinkvideosr,S,702,361
1789144143,5941,2511791,decklinkvideosr,S,968,50036
1789144143,5941,2511792,media-agent,S,243,71
1789144143,5941,2511793,media-agent,S,13,1
1789144143,5941,2511794,media-agent,S,11,31
1789144145,5943,2511716,media-agent,S,17,18
1789144145,5943,2511725,media-agent,S,0,0
1789144145,5943,2511726,media-agent,S,0,0
1789144145,5943,2511727,media-agent,S,0,0
1789144145,5943,2511728,media-agent,S,0,0
1789144145,5943,2511729,media-agent,S,0,0
1789144145,5943,2511730,media-agent,S,7,25
1789144145,5943,2511731,media-agent,S,0,0
1789144145,5943,2511732,pool-spawner,S,0,0
1789144145,5943,2511733,queue1:src,S,349,1093
1789144145,5943,2511738,queue0:src,S,433,1417
1789144145,5943,2511788,media-agent,S,87,96
1789144145,5943,2511789,decklinkaudiosr,S,584,322
1789144145,5943,2511790,decklinkvideosr,S,702,361
1789144145,5943,2511791,decklinkvideosr,S,972,50053
1789144145,5943,2511792,media-agent,S,244,71
1789144145,5943,2511793,media-agent,S,13,1
1789144145,5943,2511794,media-agent,S,11,31
1789144147,5945,2511716,media-agent,S,17,18
1789144147,5945,2511725,media-agent,S,0,0
1789144147,5945,2511726,media-agent,S,0,0
1789144147,5945,2511727,media-agent,S,0,0
1789144147,5945,2511728,media-agent,S,0,0
1789144147,5945,2511729,media-agent,S,0,0
1789144147,5945,2511730,media-agent,S,7,25
1789144147,5945,2511731,media-agent,S,0,0
1789144147,5945,2511732,pool-spawner,S,0,0
1789144147,5945,2511733,queue1:src,S,350,1093
1789144147,5945,2511738,queue0:src,S,434,1417
1789144147,5945,2511788,media-agent,S,87,96
1789144147,5945,2511789,decklinkaudiosr,S,584,322
1789144147,5945,2511790,decklinkvideosr,S,703,361
1789144147,5945,2511791,decklinkvideosr,S,974,50061
1789144147,5945,2511792,media-agent,S,244,71
1789144147,5945,2511793,media-agent,S,13,1
